date;open;high;low;close;change;changePer;Volume;tradesNum
31/10/21;28.5;29.4;28.5;29.4;0.9;3.16;7,830,080;4,086
28/10/21;27.8;28.6;27.8;28.5;0.5;1.79;3,921,144;2,927
27/10/21;28;28.25;27.8;28;0;0;3,691,241;2,756
26/10/21;28.5;28.65;27.85;28;-0.5;-1.75;6,262,346;3,975
25/10/21;27.6;28.6;27.55;28.5;0.9;3.26;8,892,974;5,841
24/10/21;27.5;27.8;27.4;27.6;0.1;0.36;3,599,243;2,309
21/10/21;27.4;27.8;27.35;27.5;0;0;4,464,988;3,059
20/10/21;27.55;27.6;27.3;27.5;-0.05;-0.18;1,708,853;1,387
19/10/21;27.7;27.7;27.25;27.55;-0.15;-0.54;3,113,524;1,958
18/10/21;27.75;27.85;27.45;27.7;-0.1;-0.36;2,379,595;2,310
17/10/21;27.2;27.8;27;27.8;0.65;2.39;5,600,518;3,076
14/10/21;26.95;27.3;26.65;27.15;0.15;0.56;6,188,186;3,782
13/10/21;26.95;27.1;26.85;27;0;0;3,234,781;4,534
12/10/21;27.3;27.3;26.85;27;-0.2;-0.74;2,625,616;2,050
11/10/21;27;27.35;26.85;27.2;0.15;0.55;3,839,203;2,243
10/10/21;27.3;27.45;26.95;27.05;-0.35;-1.28;2,399,990;1,819
07/10/21;27.05;27.45;26.95;27.4;0.35;1.29;2,988,584;2,097
06/10/21;27.45;27.65;26.9;27.05;-0.3;-1.1;6,297,252;3,817
05/10/21;26.8;27.4;26.8;27.35;0.6;2.24;5,694,296;3,147
04/10/21;26.85;26.9;26.6;26.75;-0.15;-0.56;2,123,097;1,608
03/10/21;27;27;26.7;26.9;0;0;1,568,270;1,370
30/09/21;27;27.05;26.85;26.9;-0.1;-0.37;1,840,278;1,477
29/09/21;26.7;27.05;26.7;27;0.3;1.12;2,508,288;1,833
28/09/21;26.7;27.15;26.55;26.7;-0.15;-0.56;3,495,234;2,442
27/09/21;26.95;27;26.3;26.85;-0.1;-0.37;3,984,118;3,651
26/09/21;26.9;27;26.75;26.95;0.15;0.56;2,035,449;1,387
22/09/21;27.1;27.2;26.7;26.8;-0.25;-0.92;2,521,141;1,900
21/09/21;26.9;27.4;26.65;27.05;0.15;0.56;2,371,866;2,037
20/09/21;27.35;27.35;26.85;26.9;-0.55;-2;4,189,616;2,926
19/09/21;27.8;27.9;27.2;27.45;-0.45;-1.61;2,052,047;1,856
16/09/21;27.5;27.9;27.2;27.9;0.4;1.45;3,945,193;3,159
15/09/21;27.3;27.5;27.2;27.5;0.25;0.92;2,077,766;2,147
14/09/21;26.85;27.35;26.85;27.25;0.4;1.49;1,703,845;2,368
13/09/21;27.1;27.15;26.75;26.85;-0.25;-0.92;3,241,501;2,309
12/09/21;27.35;27.35;26.95;27.1;-0.25;-0.91;1,944,633;1,712
09/09/21;27.5;27.5;27.1;27.35;-0.15;-0.55;2,686,125;1,962
08/09/21;27.85;27.9;27.4;27.5;-0.2;-0.72;3,044,263;2,326
07/09/21;27.65;28;27.45;27.7;0;0;2,545,950;2,211
06/09/21;28;28;27.5;27.7;-0.25;-0.89;2,980,160;3,178
05/09/21;27.95;28.4;27.8;27.95;0.15;0.54;3,024,965;2,625
02/09/21;28.2;28.7;27.6;27.8;-0.35;-1.24;4,658,725;5,005
01/09/21;27.3;28.2;27.25;28.15;0.85;3.11;3,391,174;3,294
31/08/21;27;27.3;26.95;27.3;0.3;1.11;3,193,208;2,035
30/08/21;27;27.1;26.85;27;0;0;943,561;1,136
29/08/21;26.7;27.1;26.6;27;0.3;1.12;1,142,457;1,294
26/08/21;26.5;26.7;26.35;26.7;0.2;0.75;1,452,470;1,509
25/08/21;26.6;26.7;26.1;26.5;0.05;0.19;2,955,613;2,002
24/08/21;26.2;26.5;25.95;26.45;0.5;1.93;2,301,489;1,939
23/08/21;26.45;26.7;25.9;25.95;-0.5;-1.89;2,194,235;1,780
22/08/21;26.25;26.55;25.85;26.45;0;0;3,974,004;1,718
19/08/21;26.8;26.85;26.3;26.45;-0.55;-2.04;2,640,188;2,219
18/08/21;27.3;27.3;26.85;27;-0.35;-1.28;2,128,672;2,745
17/08/21;27.35;27.5;27.1;27.35;-0.1;-0.36;2,729,107;2,170
16/08/21;27.5;27.8;27.25;27.45;-0.05;-0.18;2,303,210;2,351
15/08/21;27.1;27.7;26.9;27.5;0.55;2.04;6,420,380;4,035
12/08/21;26.15;26.95;26.05;26.95;0.8;3.06;6,731,962;5,609
11/08/21;25.8;26.15;25.75;26.15;0.25;0.97;2,196,385;2,542
10/08/21;25.6;25.95;25.6;25.9;0.3;1.17;3,024,108;2,523
09/08/21;25.75;25.85;25.35;25.6;-0.1;-0.39;2,166,613;2,307
08/08/21;26.8;26.85;25.65;25.7;-0.25;-0.96;8,802,510;5,344
05/08/21;25.5;25.95;25.35;25.95;0.25;0.97;1,433,962;1,580
04/08/21;25.85;25.85;25.45;25.7;-0.2;-0.77;1,623,501;1,480
03/08/21;26.1;26.15;25.65;25.9;-0.3;-1.15;2,295,454;2,342
02/08/21;25.75;26.2;25.6;26.2;0.45;1.75;2,728,867;1,792
01/08/21;25.9;25.9;25.55;25.75;-0.15;-0.58;1,937,185;1,849
29/07/21;25.5;25.9;25.4;25.9;0.2;0.78;1,759,247;1,475
28/07/21;25.3;25.9;25.25;25.7;0.45;1.78;1,926,179;2,377
27/07/21;25.85;26.1;25.2;25.25;-0.7;-2.7;2,647,546;3,059
26/07/21;26.25;26.25;25.65;25.95;-0.25;-0.95;2,952,765;2,630
25/07/21;25.1;26.2;25.1;26.2;1.3;5.22;4,293,596;3,388
15/07/21;24.86;25.35;24.84;24.9;0.06;0.24;1,980,328;1,596
14/07/21;24.84;24.98;24.72;24.84;0.02;0.08;849,847;1,133
13/07/21;24.8;25.05;24.74;24.82;0.06;0.24;1,066,536;1,305
12/07/21;24.7;25.2;24.54;24.76;0.04;0.16;2,596,808;2,435
11/07/21;25.1;25.1;24.5;24.72;-0.2;-0.8;2,365,516;1,905
08/07/21;25.6;25.65;24.92;24.92;-0.68;-2.66;2,970,058;2,476
07/07/21;25.75;25.85;25.35;25.6;0;0;5,276,912;7,441
06/07/21;24.8;25.65;24.8;25.6;0.9;3.64;12,018,560;7,693
05/07/21;24.16;24.78;24.16;24.7;0.54;2.24;7,469,506;4,902
04/07/21;24.2;24.24;24.14;24.16;0.04;0.17;1,057,808;865
01/07/21;24.14;24.24;24.1;24.12;-0.02;-0.08;915,656;1,093
30/06/21;24.2;24.28;24.06;24.14;-0.12;-0.49;1,522,753;1,730
29/06/21;24.3;24.3;24.14;24.26;-0.04;-0.16;708,187;1,118
28/06/21;24.2;24.36;24.06;24.3;0.14;0.58;3,130,724;2,891
27/06/21;24.26;24.4;24.12;24.16;-0.04;-0.17;1,623,358;1,552
24/06/21;24.2;24.26;24.14;24.2;0;0;1,206,789;934
23/06/21;24.24;24.3;24.12;24.2;-0.04;-0.17;1,399,501;1,476
22/06/21;24.08;24.26;24.02;24.24;0.22;0.92;1,796,789;1,976
21/06/21;24.18;24.2;23.96;24.02;-0.18;-0.74;2,537,016;2,988
20/06/21;24.48;24.48;24.02;24.2;-0.28;-1.14;1,528,742;1,698
17/06/21;24.38;24.48;24.18;24.48;0.1;0.41;3,820,591;2,284
16/06/21;24.46;24.46;24.24;24.38;-0.08;-0.33;663,460;869
15/06/21;24.52;24.56;24.32;24.46;-0.06;-0.24;1,347,209;1,480
