date;open;high;low;close;change;changePer;Volume;tradesNum
31/10/21;138.6;140;138.6;139;0.4;0.29;1,686,212;3,640
28/10/21;138.8;140;136.8;138.6;-0.2;-0.14;3,793,965;8,647
27/10/21;139.2;140.2;138.6;138.8;-0.4;-0.29;2,270,175;5,750
26/10/21;140;141;139.2;139.2;-0.8;-0.57;2,742,541;5,692
25/10/21;137.8;140.6;135.2;140;2.2;1.6;2,285,307;7,643
24/10/21;142;142;137.4;137.8;-4.2;-2.96;3,857,928;10,842
21/10/21;142;142.8;141;142;0.8;0.57;2,848,752;6,466
20/10/21;139.2;141.8;138.4;141.2;2.2;1.58;3,716,279;8,887
19/10/21;135.2;139;135.2;139;4.2;3.12;3,661,023;8,302
18/10/21;134.6;135.6;134.2;134.8;0.2;0.15;1,626,648;4,750
17/10/21;135;135.8;134.6;134.6;0.2;0.15;1,559,708;3,750
14/10/21;134.6;134.8;133.8;134.4;-0.2;-0.15;2,011,096;4,455
13/10/21;134.8;135;133.8;134.6;-0.4;-0.3;1,722,403;4,621
12/10/21;135;135.4;133.4;135;1;0.75;2,125,828;5,365
11/10/21;135;136.8;133.2;134;-0.2;-0.15;4,512,535;10,492
10/10/21;130.8;135.2;130.6;134.2;3.8;2.91;4,079,692;8,373
07/10/21;129.2;130.6;129.2;130.4;1.2;0.93;2,659,182;5,996
06/10/21;129;131;128.8;129.2;1;0.78;4,227,616;9,668
05/10/21;125.4;129;125.4;128.2;2.8;2.23;4,232,882;9,377
04/10/21;123.4;126.4;123.4;125.4;2;1.62;6,468,450;11,464
03/10/21;122.4;124.4;122;123.4;0.8;0.65;3,309,032;6,319
30/09/21;121;122.8;120.8;122.6;1.6;1.32;3,785,508;8,568
29/09/21;121;121.6;120.4;121;-0.4;-0.33;1,902,554;4,296
28/09/21;121.4;122.4;120.8;121.4;0;0;2,377,092;5,548
27/09/21;121.8;122;121;121.4;-0.4;-0.33;2,169,766;6,257
26/09/21;122;122.2;121.2;121.8;0.8;0.66;1,541,492;2,650
22/09/21;121.4;122.4;121;121;-1.2;-0.98;1,506,270;2,971
21/09/21;121.2;122.4;120.2;122.2;0.6;0.49;2,255,592;4,708
20/09/21;121.6;122;121;121.6;-0.6;-0.49;2,340,009;5,083
19/09/21;122.8;123;121.8;122.2;-1.2;-0.97;1,886,160;3,706
16/09/21;122.2;123.4;122;123.4;1.2;0.98;3,248,504;4,552
15/09/21;122.2;122.6;121.6;122.2;0.4;0.33;1,772,118;3,765
14/09/21;122.2;122.8;121.6;121.8;-0.2;-0.16;2,027,010;3,991
13/09/21;122;122.4;121;122;-0.4;-0.33;2,933,805;5,083
12/09/21;123.6;124;122;122.4;-1.4;-1.13;3,739,290;3,993
09/09/21;123.8;124.2;123.2;123.8;-0.2;-0.16;1,924,890;4,392
08/09/21;123;124;122.6;124;1.4;1.14;2,495,352;4,945
07/09/21;122.2;124.4;122.2;122.6;0.6;0.49;3,321,009;5,489
06/09/21;120.6;122;120.6;122;1.4;1.16;2,570,487;4,874
05/09/21;120.6;121;120.4;120.6;0.2;0.17;1,500,607;3,566
02/09/21;120.4;121;120.4;120.4;0;0;1,466,584;4,156
01/09/21;121;121.2;120.4;120.4;-0.6;-0.5;2,270,946;5,019
31/08/21;120.6;121.2;120;121;0.4;0.33;4,712,892;5,809
30/08/21;121.2;121.2;119.8;120.6;-0.2;-0.17;2,399,047;4,824
29/08/21;120.2;121;119.4;120.8;1.4;1.17;2,037,017;4,374
26/08/21;121;121;119.4;119.4;-1.6;-1.32;2,092,183;5,335
25/08/21;121.8;122;120.4;121;-0.8;-0.66;2,062,611;3,711
24/08/21;121.2;121.8;121.2;121.8;0.6;0.5;1,646,916;3,561
23/08/21;120.2;122;120.2;121.2;1.2;1;2,676,954;4,467
22/08/21;122.2;122.8;119.8;120;-2.2;-1.8;2,457,328;4,970
19/08/21;122;123;120.6;122.2;-0.2;-0.16;3,370,437;6,122
18/08/21;122;122.8;121.6;122.4;0.4;0.33;1,762,005;4,223
17/08/21;120.6;122;120;122;1.2;0.99;2,997,825;5,251
16/08/21;121.6;122.6;120.6;120.8;-1;-0.82;3,352,141;6,588
15/08/21;121;121.8;120.6;121.8;0.8;0.66;1,468,179;3,344
12/08/21;119.6;122;119.6;121;1.6;1.34;3,704,824;7,787
11/08/21;119;120;119;119.4;0.4;0.34;2,826,638;6,959
10/08/21;118.2;119.4;118.2;119;0.8;0.68;2,404,087;5,018
09/08/21;118;118.6;117.4;118.2;0.2;0.17;2,009,407;3,968
08/08/21;117;118.4;117;118;0.8;0.68;1,857,683;3,849
05/08/21;117.6;117.6;116.4;117.2;-0.6;-0.51;2,183,599;4,610
04/08/21;118.4;118.6;117;117.8;-0.6;-0.51;2,206,159;4,969
03/08/21;117;119;117;118.4;1.4;1.2;3,489,478;9,291
02/08/21;114;117;114;117;3.8;3.36;5,626,216;10,367
01/08/21;111.4;114.2;111.2;113.2;2.2;1.98;5,441,016;9,493
29/07/21;109.8;111;109.8;111;1.2;1.09;2,284,605;4,158
28/07/21;109.2;110.2;109.2;109.8;0.4;0.37;1,799,382;4,037
27/07/21;109.4;110.4;109.4;109.4;-0.6;-0.55;1,655,137;4,139
26/07/21;110;110.2;109;110;0.6;0.55;1,538,528;3,916
25/07/21;109;111.2;109;109.4;1.2;1.11;1,731,195;3,898
15/07/21;108.6;110;108.2;108.2;0.2;0.19;2,285,642;4,753
14/07/21;107.6;108.6;107.2;108;0.4;0.37;1,897,972;4,024
13/07/21;107.8;108.6;107;107.6;0;0;2,465,811;5,895
12/07/21;106.2;108.4;105.8;107.6;1;0.94;3,988,763;7,922
11/07/21;109;109.4;105.6;106.6;-1.8;-1.66;4,053,544;11,858
08/07/21;110.2;110.4;108.4;108.4;-2.4;-2.17;3,601,059;11,264
07/07/21;111;111.2;110;110.8;-1;-0.89;2,436,371;5,217
06/07/21;112.2;112.8;111.8;111.8;-0.6;-0.53;2,072,374;4,217
05/07/21;112.4;113.2;111.8;112.4;-0.4;-0.35;2,816,475;5,598
04/07/21;111.6;113.4;111.6;112.8;1.4;1.26;3,670,097;5,222
01/07/21;111;111.6;110.6;111.4;0.4;0.36;2,513,158;4,432
30/06/21;110.8;111.2;110.4;111;0.6;0.54;3,415,365;4,778
29/06/21;110.8;111.4;110.4;110.4;-0.8;-0.72;2,477,087;4,839
28/06/21;110.8;111.4;110.4;111.2;0.4;0.36;1,927,574;4,392
27/06/21;110.2;111.6;110.2;110.8;0.2;0.18;2,008,921;4,261
24/06/21;109.8;110.8;109.8;110.6;1;0.91;2,079,084;3,738
23/06/21;110.2;110.8;109.4;109.6;-0.4;-0.36;1,662,098;3,719
22/06/21;111;111.6;109.6;110;-0.6;-0.54;2,671,075;5,505
21/06/21;108;110.6;107.4;110.6;2.6;2.41;3,385,359;6,459
20/06/21;110;110.2;107.6;108;-2;-1.82;3,247,033;6,870
17/06/21;110.8;111.2;110;110;-0.6;-0.54;4,710,836;4,436
16/06/21;110.8;111.6;110.4;110.6;0;0;2,061,068;4,174
15/06/21;113.2;113.8;110.2;110.6;-2.4;-2.12;4,462,933;8,935
14/06/21;109.6;115;109.6;113;3.4;3.1;8,024,230;14,138
13/06/21;106.2;109.8;106;109.6;4;3.79;4,039,694;6,449
10/06/21;105;106.8;105;105.6;0.6;0.57;4,074,828;6,021
09/06/21;104.2;105;104.2;105;0.8;0.77;3,291,079;4,310
08/06/21;103.4;104.2;103.4;104.2;0.8;0.77;3,757,928;4,581
07/06/21;103.2;103.8;103.2;103.4;0;0;2,000,439;3,629
06/06/21;103.4;104.2;103.2;103.4;0;0;2,426,657;4,172
03/06/21;103.8;104.2;103.2;103.4;-0.6;-0.58;4,123,806;5,436
02/06/21;104.4;104.6;103.6;104;0;0;2,138,678;3,340
01/06/21;103.2;104.4;103.2;104;0.8;0.78;5,017,270;5,269
31/05/21;103.6;104;102.8;103.2;-0.4;-0.39;2,796,847;4,499
30/05/21;102.8;104.2;102.6;103.6;0.6;0.58;2,946,824;5,923
27/05/21;101.8;103;101.4;103;1.2;1.18;4,790,708;5,560
26/05/21;102;102.6;101.4;101.8;-0.2;-0.2;2,560,873;4,439
25/05/21;100.4;102;100.4;102;1.8;1.8;4,276,991;5,477
24/05/21;100.6;101.4;100;100.2;-0.4;-0.4;3,305,126;4,788
23/05/21;101.4;102;99.7;100.6;-0.8;-0.79;3,256,784;5,319
20/05/21;102.2;102.6;100.2;101.4;-0.6;-0.59;3,521,900;5,833
19/05/21;103.2;103.6;102;102;-1;-0.97;2,718,503;4,735
18/05/21;102;104.2;102;103;1.4;1.38;3,735,147;6,574
17/05/21;99.9;101.8;99.7;101.6;1.9;1.91;4,582,869;7,027
10/05/21;99.1;100;99;99.7;0.5;0.5;3,114,862;5,279
09/05/21;99.4;99.8;99;99.2;-0.3;-0.3;1,852,306;2,284
06/05/21;99.1;99.9;98.1;99.5;0.4;0.4;4,468,839;9,203
05/05/21;99.7;100;99.1;99.1;-0.7;-0.7;3,051,576;4,067
04/05/21;99.5;100.4;98.9;99.8;0.4;0.4;3,674,086;7,870
03/05/21;98.8;99.7;98.6;99.4;0.5;0.51;2,664,647;6,697
02/05/21;98.9;99.3;98;98.9;0;0;2,694,977;5,554
29/04/21;101;101.4;98.8;98.9;-3.1;-3.04;7,224,901;12,046
28/04/21;98.5;102;98.2;102;4.2;4.29;12,423,774;11,975
27/04/21;98;98.1;97.2;97.8;-0.2;-0.2;3,534,572;5,072
26/04/21;96.2;98.1;96.2;98;1.7;1.77;4,592,203;5,849
25/04/21;96.8;97;96.2;96.3;-0.5;-0.52;2,415,419;3,171
22/04/21;96.1;97.1;95.8;96.8;0.8;0.83;4,251,020;6,078
21/04/21;96;97.4;95.7;96;0.8;0.84;6,317,955;8,491
20/04/21;94.7;95.6;94.5;95.2;0.6;0.63;2,773,464;4,814
19/04/21;94.8;94.9;93.6;94.6;0.1;0.11;3,400,183;6,996
18/04/21;94.5;96;94.4;94.5;0.3;0.32;3,047,462;5,675
15/04/21;92;94.6;91.9;94.2;2.4;2.61;6,174,645;11,133
14/04/21;91.2;91.9;89.7;91.8;0.7;0.77;6,329,541;9,269
13/04/21;92.1;92.9;91;91.1;-0.9;-0.98;3,868,583;8,487
12/04/21;93.5;93.6;91.6;92;-1.4;-1.5;5,316,866;11,089
11/04/21;95;95.1;93.2;93.4;-1.8;-1.89;2,949,840;7,007
08/04/21;95;96;94.7;95.2;0.2;0.21;2,888,002;5,383
07/04/21;95.7;96;94.9;95;-0.7;-0.73;4,460,728;7,076
06/04/21;97.4;97.8;95.6;95.7;-1.6;-1.64;3,999,132;9,318
05/04/21;97.9;98.5;97.3;97.3;-0.5;-0.51;1,866,325;3,896
04/04/21;98.1;98.7;97;97.8;-0.8;-0.81;1,931,597;4,192
01/04/21;98.8;99.5;97.9;98.6;-0.2;-0.2;5,627,757;9,634
31/03/21;96;98.8;95.3;98.8;4.8;5.11;9,123,472;11,947
30/03/21;94.1;94.4;93.7;94;-0.9;-0.95;2,157,548;4,873
29/03/21;93.9;94.9;93.7;94.9;1.4;1.5;3,497,381;6,232
28/03/21;93.1;94.7;92.8;93.5;0.5;0.54;2,565,183;5,445
25/03/21;93.4;94;92.8;93;-0.5;-0.53;2,602,521;5,484
24/03/21;93.6;94;92;93.5;-0.1;-0.11;2,210,485;4,994
23/03/21;94;95.1;93.5;93.6;-0.4;-0.43;2,983,591;5,982
22/03/21;92.1;95.3;91.6;94;1.9;2.06;3,963,705;8,384
21/03/21;91.5;92.5;90.9;92.1;0.3;0.33;3,859,878;6,817
18/03/21;95.1;95.5;91.8;91.8;-3.5;-3.67;7,360,913;10,581
17/03/21;96.2;96.2;94.6;95.3;-0.9;-0.94;2,126,085;5,024
16/03/21;96.1;96.8;95.8;96.2;-0.1;-0.1;3,938,219;4,818
15/03/21;97.7;97.8;95.2;96.3;-1.2;-1.23;4,401,932;7,386
14/03/21;97.6;98.5;97.4;97.5;0.2;0.21;2,369,021;4,470
11/03/21;99.1;99.9;96.7;97.3;-1.7;-1.72;5,520,515;11,028
10/03/21;96.3;99.9;96.3;99;3;3.13;9,007,600;16,497
09/03/21;91.5;97;91.5;96;4.4;4.8;9,472,439;12,292
08/03/21;90;91.6;89.6;91.6;1.8;2;4,543,563;8,187
07/03/21;89.8;90.2;89.7;89.8;0.8;0.9;2,579,268;4,288
04/03/21;89.5;90;89;89;-0.7;-0.78;3,061,823;5,666
03/03/21;89.6;90.6;88.5;89.7;0.2;0.22;3,822,558;6,685
02/03/21;87.1;90;87;89.5;2.2;2.52;4,874,736;8,436
01/03/21;89.7;90.6;87.1;87.3;-2.1;-2.35;4,832,040;9,991
28/02/21;88.9;91;88.7;89.4;-1.6;-1.76;4,514,653;7,261
25/02/21;90;92;89.9;91;1.8;2.02;7,238,549;9,977
24/02/21;88.1;90.5;86.9;89.2;1.3;1.48;8,443,994;12,484
23/02/21;84.9;88;84.7;87.9;3.4;4.02;9,271,082;11,026
22/02/21;84.3;85.2;84;84.5;0.3;0.36;4,018,097;4,932
21/02/21;83.4;85.5;83.4;84.2;0.8;0.96;3,509,955;6,909
18/02/21;83.6;84;83;83.4;-0.6;-0.71;3,262,804;5,288
17/02/21;83.5;84.5;83.5;84;0.4;0.48;2,858,278;5,355
16/02/21;85.1;85.4;82.8;83.6;-1.4;-1.65;5,176,514;7,200
15/02/21;84;87.1;84;85;1.5;1.8;8,654,278;11,489
14/02/21;80;83.5;80;83.5;3.5;4.38;5,158,814;8,637
11/02/21;79.1;80;79.1;80;0.7;0.88;5,275,029;5,308
10/02/21;79.3;80;79;79.3;0.3;0.38;4,655,150;6,054
09/02/21;77.1;79.5;77.1;79;2.2;2.86;6,852,450;8,466
08/02/21;75.1;77.5;75.1;76.8;1.6;2.13;7,192,421;7,501
07/02/21;74.1;75.4;74;75.2;1;1.35;5,778,383;5,857
