date;open;high;low;close;change;changePer;Volume;tradesNum
31/10/21;129;130.2;126.6;126.8;-2.2;-1.71;1,842,999;5,403
28/10/21;129.2;131;128.6;129;-4;-3.01;3,402,561;7,772
27/10/21;135;136.2;132;133;-1.6;-1.19;1,684,041;4,957
26/10/21;135.4;136.6;134.6;134.6;-0.6;-0.44;1,270,154;3,251
25/10/21;135;136.2;134;135.2;0.4;0.3;1,699,523;3,375
24/10/21;134.2;135.8;134;134.8;0.6;0.45;1,582,995;3,034
21/10/21;133.8;135.4;133.4;134.2;0.6;0.45;1,995,977;4,173
20/10/21;131.6;133.8;131.4;133.6;2.6;1.98;2,137,988;4,299
19/10/21;133;133.2;130.4;131;-1.4;-1.06;1,674,184;4,008
18/10/21;134;134.2;131.6;132.4;-2;-1.49;1,753,263;3,980
17/10/21;134;134.8;133.4;134.4;0.8;0.6;1,633,076;3,721
14/10/21;132.6;134.4;132.6;133.6;1.4;1.06;2,292,465;4,410
13/10/21;128.6;132.2;128.2;132.2;3.6;2.8;2,858,101;6,314
12/10/21;129;130.4;128;128.6;0.2;0.16;2,802,380;4,816
11/10/21;128.2;129.8;126.2;128.4;0.6;0.47;2,694,413;5,404
10/10/21;126;128.8;126;127.8;1.6;1.27;3,084,879;4,727
07/10/21;125.4;126.6;125.2;126.2;1;0.8;1,119,946;2,096
06/10/21;126;127.2;125.2;125.2;-0.8;-0.63;1,976,074;3,793
05/10/21;124.8;126.6;124.8;126;1.4;1.12;2,176,581;3,095
04/10/21;125.8;126.6;124.4;124.6;-1.2;-0.95;2,838,501;4,158
03/10/21;127;127.4;125.2;125.8;-1.6;-1.26;1,869,708;3,771
30/09/21;127;127.6;126.2;127.4;0.4;0.31;2,650,609;3,262
29/09/21;128;128.8;126.6;127;-1.8;-1.4;2,404,944;4,467
28/09/21;128;131.2;127.4;128.8;0.8;0.63;4,418,530;8,159
27/09/21;125.8;128.8;125.6;128;2.8;2.24;4,681,418;8,764
26/09/21;123.4;125.4;123;125.2;3;2.45;2,814,093;3,729
22/09/21;123.2;123.6;122.2;122.2;-1;-0.81;1,312,540;2,386
21/09/21;122.8;123.6;122.4;123.2;-0.2;-0.16;1,436,355;2,657
20/09/21;123.4;123.6;122.6;123.4;-1.6;-1.28;1,989,358;3,366
19/09/21;124.2;125.2;123.6;125;1.2;0.97;2,581,302;3,497
16/09/21;125.4;125.6;123.8;123.8;-1.2;-0.96;11,801,072;6,780
