date;open;high;low;close;change;changePer;Volume;tradesNum
31/10/21;116.6;116.6;115;115.2;-1.8;-1.54;711,066;4,557
28/10/21;117;117.2;115.6;117;0;0;1,333,737;4,876
27/10/21;117.8;117.8;117;117;-0.2;-0.17;885,464;4,444
26/10/21;119;119.8;117.2;117.2;-2;-1.68;1,763,426;5,442
25/10/21;119.8;120.2;119;119.2;-0.2;-0.17;878,425;2,872
24/10/21;118.4;120.6;118.4;119.4;1.2;1.02;1,359,162;3,882
21/10/21;118.6;119.4;118;118.2;-0.4;-0.34;1,049,280;3,586
20/10/21;117.8;118.6;117.4;118.6;1.2;1.02;604,719;2,434
19/10/21;118.4;118.4;117.2;117.4;-0.2;-0.17;1,154,827;3,496
18/10/21;118;118.8;117.6;117.6;0;0;979,156;3,309
17/10/21;117.8;118.6;117.2;117.6;0;0;881,571;2,871
14/10/21;117.8;118;116.6;117.6;0;0;946,562;3,910
13/10/21;118;118.4;117;117.6;-0.4;-0.34;957,692;3,533
12/10/21;119.2;119.4;117.4;118;-1;-0.84;924,090;4,154
11/10/21;120;120.4;116.8;119;-0.6;-0.5;959,736;4,216
10/10/21;121.8;122;119.6;119.6;-1.6;-1.32;800,242;3,332
07/10/21;121;122.4;119.4;121.2;1;0.83;1,105,731;4,438
06/10/21;117.4;121.4;117.2;120.2;2.8;2.39;2,828,932;6,805
05/10/21;120;120;117.2;117.4;-2.6;-2.17;2,713,487;8,634
04/10/21;122.8;122.8;118.8;120;-2.8;-2.28;2,564,128;9,128
03/10/21;126;126;122.4;122.8;-4.2;-3.31;1,969,363;7,602
30/09/21;124.2;127;123.2;127;3.2;2.58;1,502,176;5,026
29/09/21;125;126;121.2;123.8;-0.8;-0.64;1,819,732;7,139
28/09/21;127;127.8;124.4;124.6;-2;-1.58;2,137,600;7,183
27/09/21;129;129.2;126.6;126.6;-2.4;-1.86;1,826,957;6,903
26/09/21;130.6;131.2;128.2;129;-1.6;-1.23;1,112,559;3,157
22/09/21;131.6;131.6;130.4;130.6;-0.4;-0.31;796,773;2,137
21/09/21;131.8;131.8;130.4;131;-0.8;-0.61;671,239;2,181
20/09/21;132;132;130.6;131.8;0.2;0.15;414,567;2,056
19/09/21;133;133.6;130.6;131.6;-1;-0.75;543,374;2,998
16/09/21;134;134.2;132.4;132.6;-1.4;-1.04;6,053,036;5,427
15/09/21;134.8;134.8;133.2;134;-0.4;-0.3;779,088;2,821
14/09/21;135;135;133.8;134.4;-0.6;-0.44;411,200;2,085
13/09/21;134;135;132.6;135;1.6;1.2;565,696;1,995
12/09/21;135.8;135.8;133.4;133.4;-2;-1.48;459,275;1,359
09/09/21;134.8;135.6;133.4;135.4;0.6;0.45;783,444;1,727
08/09/21;135;135;133.8;134.8;0.4;0.3;551,497;2,264
07/09/21;136;136.6;134.4;134.4;-1.6;-1.18;636,240;1,980
06/09/21;134.4;136;134.2;136;1.4;1.04;794,407;3,093
05/09/21;132.4;135;131.8;134.6;2.2;1.66;632,132;2,098
02/09/21;133.2;133.8;131.6;132.4;-1.4;-1.05;557,538;2,586
01/09/21;135;135;133.4;133.8;-1.2;-0.89;461,845;2,809
31/08/21;131.6;135;131;135;3.8;2.9;981,661;2,780
30/08/21;129.8;131.2;129.4;131.2;2.4;1.86;658,698;2,371
29/08/21;129.6;130;128.8;128.8;-1.2;-0.92;415,541;2,132
26/08/21;131.6;131.6;129;130;-0.6;-0.46;452,919;3,134
25/08/21;131.4;132;128.8;130.6;0;0;603,299;2,592
24/08/21;130;131.2;129.4;130.6;2;1.56;591,828;3,547
23/08/21;131.8;132.8;128.6;128.6;-3.2;-2.43;1,052,232;4,388
22/08/21;131.2;133.2;131;131.8;0.6;0.46;381,100;1,613
19/08/21;134.8;135;131;131.2;-3.8;-2.81;872,653;3,331
18/08/21;137.8;137.8;135;135;-3;-2.17;723,717;2,845
17/08/21;135.4;138.6;135.2;138;2.6;1.92;778,416;1,767
16/08/21;135.2;136.6;135.2;135.4;0;0;276,591;1,593
15/08/21;136.2;136.2;135.4;135.4;-0.8;-0.59;160,134;881
12/08/21;136.4;136.8;135.2;136.2;0;0;409,066;1,946
11/08/21;137;137;136.2;136.2;-1;-0.73;326,932;1,066
10/08/21;136.8;137.2;136.2;137.2;0.2;0.15;246,562;1,028
09/08/21;136;137;135.4;137;1.2;0.88;314,065;1,192
08/08/21;136.2;137;135.6;135.8;-2;-1.45;319,024;1,191
05/08/21;135.8;137.8;135.4;137.8;1.2;0.88;499,511;2080
04/08/21;136.4;136.6;135.2;136.6;0.2;0.15;266,202;1092
03/08/21;136.6;136.8;134.4;136.4;-0.2;-0.15;630,017;2509
02/08/21;135.6;136.6;135;136.6;1;0.74;407,715;1662
01/08/21;134;137.6;132.6;135.6;1.6;1.19;799,333;3380
29/07/21;129.2;134.4;129;134;4.4;3.4;1,167,362;3399
28/07/21;129.4;129.6;128.6;129.6;0.2;0.15;545,752;2405
27/07/21;127;129.4;127;129.4;2.4;1.89;554,571;3058
26/07/21;127;127.6;126.6;127;0.8;0.63;369,345;1941
25/07/21;127;128.4;126.2;126.2;0;0;346,089;1492
15/07/21;127.2;128.2;126.2;126.2;-1;-0.79;636,896;2579
14/07/21;128.4;130;127.2;127.2;-1.8;-1.4;369,406;1416
13/07/21;127.8;130;127.6;129;1.2;0.94;390,075;2045
12/07/21;126.6;129.4;126.6;127.8;1;0.79;557,680;2305
11/07/21;128.6;129;126.4;126.8;-2;-1.55;344,242;1948
08/07/21;128.8;129.4;127.6;128.8;0;0;438,450;1794
07/07/21;127.8;129.6;127.6;128.8;0.8;0.63;490,694;1900
06/07/21;129.2;129.8;128;128;-1.2;-0.93;661,398;2212
05/07/21;131.6;131.6;128.4;129.2;-2.4;-1.82;1,031,817;3522
04/07/21;131.8;131.8;130.6;131.6;0.4;0.3;566,832;1296
01/07/21;131.2;131.6;130.8;131.2;-0.4;-0.3;217,101;1527
30/06/21;132;132;130.4;131.6;-0.2;-0.15;482,973;1562
29/06/21;130.6;131.8;130;131.8;1.8;1.38;673,281;2134
28/06/21;130.4;130.6;129.2;130;-0.2;-0.15;451,718;2810
27/06/21;131;132;130;130.2;-0.8;-0.61;539,380;2719
24/06/21;131.6;132.6;130.6;131;0.6;0.46;811,045;2186
23/06/21;135.4;135.8;130;130.4;-2.4;-1.81;2,510,143;7006
22/06/21;133.6;134.8;132.6;132.8;-0.8;-0.6;385,099;2130
21/06/21;131.4;134.6;131.2;133.6;1.2;0.91;824,688;2913
20/06/21;130.6;134.2;130.6;132.4;2;1.53;419,910;1747
17/06/21;132.2;132.6;130.2;130.4;-1.8;-1.36;1,857,389;2956
16/06/21;133.8;135;132;132.2;-1.6;-1.2;449,030;1830
15/06/21;136.6;136.6;130.2;133.8;-3.2;-2.34;951,752;2468
14/06/21;139.4;139.6;137;137;-2.2;-1.58;788,156;3043
13/06/21;135;139.2;134.8;139.2;4.8;3.57;1,097,563;2559
10/06/21;134;135.2;133.6;134.4;-0.6;-0.44;611,639;1773
09/06/21;135.4;136;133.4;135;0.4;0.3;537,326;2082
08/06/21;132;135.2;132;134.6;2.6;1.97;560,202;1966
07/06/21;134;135.4;131.6;132;-1;-0.75;583,817;2588
